Nome|Tipo|Gênero|Data de término|Equipe|Nota|Interessância
:--|:--|:--|:--|:--|:--|:--
Dragon Quest 1 - Switch|Jogo|Rpg|12/2023|Yuji Horii (designer) Koichi Sugiyama (compositor) Akira Toriyama (character designer)|9|8
Date a live|Livro|Ligth novel - Românce e Aventura|01/2024|Koushi Tachibana|7|6
Jaku-Chara Tomozaki-kun|Anime|Slice of life|01/2024|project No.9 Studio|8|7
Scarlet Nexus - Steam Deck|Jogo|RPG de ação|01/2024|Kenji Anabuki(Diretor) Kota Ochiai(Arte) Asana Inoki(Cenário) Shoji Aomatsu(Programação)|7|7
Se deus me chamar eu não vou, Mariana Carrara|Livro|Drama Comédia|01/2024|Mariana Carrara|8|6
Volcano Princess - Win|Jogo|RPG e Date sim|01/2024|developed by 养蛋人工作室 Egg Hatcher and published by Gamera Games|7|7
Planet Robobot - 3DS|Jogo|Plataforma|01/2024|Nintendo|8|8
Kimi wa Houkago Insomnia|Anime|Vida colegial|02/2024|Lidenfilms|8|8
Mashle II |Anime|Shonen|02/2024|A-1 Pictures|9|7
